Country Name,latitude,longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
American Samoa,-170.132217,-170.132217
Andorra,42.546245,1.601554
Angola,-11.202692,17.873887
Antigua and Barbuda,17.060816,-61.796428
Argentina,-34.38424604,-66.91772461
Armenia,40.069099,45.038189
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
"Bahamas, The",25.03428,-77.39628
Bahrain,25.930414,50.637772
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belarus,53.79416184,26.9934082
Belgium,50.503887,4.469936
Belize,16.8259793,-89.80773926
Benin,9.30769,2.315834
Bermuda,32.321384,-64.75737
Bhutan,27.514162,90.433601
Bolivia,-16.290154,-63.588653
Bosnia and Herzegovina,43.915886,17.679076
Botswana,-22.328474,24.684866
Brazil,-14.235004,-51.92528
Brunei Darussalam,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Cabo Verde,16.6151378,-25.5871582
Cambodia,13.5066394,104.869423
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Cayman Islands,19.5417212,-80.5667132
Central African Republic,7.0323598,19.9981227
Chad,15.6134137,19.0156172
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Comoros,-12.2045176,44.2832964
"Congo, Dem. Rep.",6.611111,20.939444
"Congo, Rep.",-0.228021,15.827659
Costa Rica,9.748917,-83.753428
Cote d'Ivoire,7.539989,-5.54708
Croatia,45.5643442,17.0118954
Cuba,21.521757,-77.781167
Czech Republic,49.817492,15.472962
Denmark,56.26392,9.501785
Djibouti,11.825138,42.590275
Dominica,15.414999,-61.370976
Dominican Republic,18.735693,-70.162651
Ecuador,-1.831239,-78.183406
"Egypt, Arab Rep.",26.820553,30.802498
El Salvador,13.8000382,-88.9140683
Equatorial Guinea,1.613172,10.5170357
Eritrea,15.179384,39.782334
Estonia,58.595272,25.013607
Eswatini,-26.5624806,31.3991317
Ethiopia,9.145,40.489673
Fiji,-16.578193,179.414413
Finland,61.92411,25.748151
France,46.227638,2.213749
Gabon,-0.803689,11.609444
"Gambia, The",13.470062,-15.4900464
Georgia,42.315407,43.356892
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Greece,39.074208,21.824312
Grenada,12.262776,-61.604171
Guam,13.444304,144.793731
Guatemala,11.803749,-15.180413
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416,-58.93018
Haiti,19.1399952,-72.3570972
Honduras,15.199999,-86.241905
"Hong Kong SAR, China",22.396428,114.109497
Hungary,47.1817585,19.5060937
Iceland,53.41291,-8.24389
India,20.593684,78.96288
Indonesia,-2.4833826,117.8902853
